24,24,24,24,24,24,24,24,22,22,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,
24,24,24,24,24,24,24,24,31,31,31,22,22,22,10,10,10,10,10,10,10,10,10,10,10,19,19,19,24,24,24,24,24,24,24,24,31,31,31,31,31,31,31,31,31,31,31,31,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,10,10,10,10,10,10,10,10,10,11,22,22,31,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,
24,24,24,24,24,24,24,24,24,24,24,31,31,31,19,19,19,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,39,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19,11,10,10,10,10,10,10,10,10,10,10,22,22,31,31,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,1,1,1,1,48,1,1,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19,11,10,10,10,10,10,10,22,22,22,31,31,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,39,1,24,24,24,22,22,22,22,19,19,19,19,24,24,24,24,24,24,24,24,39,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,31,31,31,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,36,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,48,33,33,24,24,31,31,31,31,24,24,24,24,24,24,24,1,42,42,1,1,48,1,24,39,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,45,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,33,33,24,24,24,24,24,24,24,24,24,24,24,24,1,10,51,51,10,10,10,10,1,48,1,42,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,
24,24,24,24,37,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,39,39,24,24,24,24,24,24,24,24,39,24,24,24,1,10,10,10,10,10,10,10,10,10,10,10,51,1,39,24,39,39,39,24,24,24,24,24,43,24,39,39,39,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,
1,1,1,1,46,1,1,1,1,1,24,24,24,1,24,24,1,42,42,42,1,1,6,8,1,24,1,24,24,10,1,48,48,1,1,1,24,1,24,1,24,48,1,24,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48,1,48,48,48,1,42,42,1,1,52,1,48,48,48,1,34,34,34,34,34,34,34,34,34,34,34,34,34,24,24,24,24,24,24,24,24,24,24,24,24,
10,10,10,10,10,10,10,10,10,10,43,43,43,10,24,24,10,51,51,51,10,10,15,17,10,24,24,24,24,10,10,10,10,10,10,10,24,10,24,10,24,10,10,43,43,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51,51,10,10,10,10,10,10,10,10,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
